FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,BCC,,,6.2,,C,25,1481,2444,,13,,169,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,BCC,,,6,,C,25,1834,2195,,3,,162,,,
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,BCC+Sec.,CAST,other,,,5.8,,C,25,2179,2664,,2,,,,,
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.4,,,25,,,,,,192,,,
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.5,,C,25,750,1970,,39,103,189,,,
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,other,,,7.1,,C,25,1580,2389,,17,161,,,,
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,FCC+BCC,CAST,other,,,6.8,,C,25,1900,2697,,12,164,,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25,700,1650,,29,93,194,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+BCC,CAST,other,,,6.2,,C,25,1860,2580,10.7,9,90,,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,BCC+BCC,CAST,other,,,6.4,178,C,25,2260,3140,24.4,23,178,,,,
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,BCC+Sec.,CAST,other,,,6.1,,C,25,2220,2720,6.6,5,160,,,,
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,6.3,780,,25,,,,,,,,,
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,6.2,790,,25,,,,,,129,,,
Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,5.9,800,,25,,,,,,119,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,680,,25,,,,,,,,,
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.3,850,,25,,,,,,,,,
Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.1,630,,25,,,,,,,,,
Co1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,CAST,other,,,7.3,790,,25,,,,,,,,,
Cu1 Fe1 Ni1 Ti1 V1 Zr1,,CAST,other,,,6.8,590,,25,,,,,,,,,
Fe1 Mo1 Ni1 Ti1 V1 Zr1,BCC+Sec.,CAST,other,,,7.1,740,,25,,,,,,,,,
Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.9,180,,25,,,,,,216,,,
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.7,171,T,25,220,,56,,,212,,,
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.5,182,T,25,244,,45,,,205,,,
Al0.43 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.4,183,T,25,285,,35,,,,,,
Al0.49 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.4,220,T,25,331,,29,,,,,,
Al0.56 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.3,278,T,25,526,,16,,,,,,
Al0.62 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.2,405,T,25,833,,5,,,,,,
Al0.68 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.2,486,,25,,,,,,,,,
Al0.75 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7.1,530,,25,,,,,,,,,
Al0.81 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7,539,,25,,,,,,,,,
Al0.88 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,7,533,,25,,,,,,,,,
Al0.95 Co1 Cr1 Fe1 Mn1 Ni1,FCC+BCC,CAST,other,,,6.9,535,,25,,,,,,,,,
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,CAST,BCC,,,6.6,539,,25,,,,,,180,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8,176,T,25,208,,62,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,300,,8,144,C,25,,,,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,350,,8,135,C,25,230,,,75,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC,CAST,FCC,120,,7.9,151,C,25,,,,,,215,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC+Sec.,ANNEAL,other,130,,7.9,144,C,25,200,,,75,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,CAST,FCC,220,,7.8,186,C,25,,,,,,210,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,FCC,250,,7.8,275,C,25,620,,,75,,210,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,ANNEAL,other,500,,7.7,380,C,25,740,1325,,7.8,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V0.75,FCC+Sec.,CAST,other,500,,7.7,342,C,25,,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,ANNEAL,other,12,,7.7,636,C,25,1660,1845,,0.5,,,,,
Co1 Cr1 Fe1 Mn1 Ni1 V1,FCC+Sec.,CAST,other,,,7.7,650,C,25,,,,,,,,,
Al0.2 Cr0.667 Fe1 Mn0.667 Ni0.333,FCC+BCC,CAST,other,,,7.2,297,,25,,,,,,,,,
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC,CAST,BCC,,,7,396,,25,,,,,,201,,,
Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,other,,,6.3,472,C,25,1406,2927,,29,,,,,
Al1 Cr1 Fe1 Mo1 Ni1,B2+Sec.,CAST,other,,,7.2,905,,25,,,,,,,,,
Al1 Cr1 Fe1 Mo0.2 Ni1,BCC+B2,CAST,other,,,6.5,549,C,25,1487,3222,,29,,,,,
Al1 Cr1 Fe1 Mo0.5 Ni1,BCC+B2,CAST,other,,,6.8,622,C,25,1749,2644,,13,,,,,
Al1 Cr1 Fe1 Mo0.8 Ni1,B2+Sec.,CAST,other,,,7,854,C,25,1513,1513,,0,,,,,
Al0.3 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.7,180,,25,,,,,,194,,,
Al0.5 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.4,207,,25,,,,,,187,,,
Al0.8 Co1 Cr1 Cu1 Fe1,FCC+BCC,,other,,,7,271,,25,,,,,,,,,
Al1 Co0.769 Cr0.769 Cu0.769 Fe0.769,FCC+BCC,,other,,,6.5,476,,25,,,,,,,,,
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667,FCC+BCC,,other,,,6.3,510,,25,,,,,,,,,
Al1 Co0.556 Cr0.556 Cu0.556 Fe0.556,FCC+BCC,,other,,,6.1,557,,25,,,,,,,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5,FCC+BCC,,other,,,5.9,567,,25,,,,,,,,,
Al1 Co0.435 Cr0.435 Cu0.435 Fe0.435,FCC+BCC,,other,,,5.7,603,,25,,,,,,,,,
Al1 Co0.4 Cr0.4 Cu0.4 Fe0.4,FCC+BCC,,other,,,5.6,624,,25,,,,,,,,,
Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,BCC,,BCC,,,5.5,657,,25,,,,,,139,,,
Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,BCC,,BCC,,,5.4,644,,25,,,,,,136,,,
Al1 Co1 Cr1 Cu1 Fe1,FCC+BCC,,other,,,6.8,407,,25,,,,,,,,,
Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,8.2,134,,25,,,,,,208,,,
Co1 Cr1 Cu0.5 Fe1 Ni1,FCC,CAST,FCC,,,8.3,172,,25,,,,,,215,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,7.4,,C,25,1272,1272,2,0,,185,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25,700,1650,22,21.6,,194,,,
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,FCC+Sec.,CAST,other,,,7.6,,C,25,1042,1848,3,2.11,,,,,
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,CAST,other,,,7.5,415,,25,,,,,,,,,
