FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature (celcius),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,0.8,,8.6,,T,25,1100,1300,32,,,231,,,
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,1.2,,8.6,,T,25,950,,36,,,231,,,
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,3.2,,8.6,,T,25,649,,42,,,231,,,
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,18.2,,8.6,,T,25,439,,63,,,231,,,
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,FCC,94.1,,8.6,,T,25,309,,82,,,231,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,386.2,666.3,57.5,,,220,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,CAST,other,,,8.1,,T,25,628,950,14.5,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,ANNEAL,other,,,8.1,,T,25,545,690,5,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,ANNEAL,other,,,8.1,,T,25,534,682,5.2,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,ANNEAL,other,,,8.1,,T,25,525,680,4.3,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,ANNEAL,other,,,8.1,,T,25,517,677,4.6,,,,,,
Cr1 Cu1 Fe1 Mn1 Ni1,Other,ANNEAL,other,,,8.1,,T,25,502,671,4.9,,,,,,
Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,other,0.54,,11.7,1072,C,25,,,,,,,7946,,
Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,other,1.24,,11.7,1010,C,25,3416,,,5.3,,,7946,,
Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,other,5.01,,11.7,991.3,C,25,3410,,,2,,,7946,,
Cr1 Mo1 Nb1 Ta1 V1 W1,BCC+Laves+Sec.,POWDER,other,10.8,,11.7,988.3,C,25,3338,,,1.9,,,7946,,
Cr1 Mo1 Nb1 Ta1 V1 W1,,CAST,other,,,11.7,704.6,C,25,,,,,,,,,
Co1 Cr1 Cu1 Fe1 Ni1,FCC+B2,CAST,other,,,8.3,160,,,,,,,,,,,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,160,,,,,,,,189,,,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,other,,,7.1,458,,,,,,,,,,,
Al1 Co0.667 Cr0.667 Cu0.667 Fe0.667 Ni0.667,FCC+BCC,CAST,other,,,6.6,498,,,,,,,,,,,
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,FCC+BCC,CAST,other,,,6.3,560,,,,,,,,,,,
Co1 Ni1 V1,,WROUGHT,other,2,,7.8,,T,25,991,1359,38,,,,,,
Co1 Ni1 V1,,WROUGHT,other,5.6,,7.8,,T,25,767,1224,46,,,,,,
Co1 Ni1 V1,,WROUGHT,other,18.7,,7.8,,T,25,602,1123,51,,,,,,
Co1 Ni1 V1,,WROUGHT,other,27.8,,7.8,,T,25,517,1049,55,,,,,,
Co1 Ni1 V1,,WROUGHT,other,122.2,,7.8,,T,25,461,886,58,,,,,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC+B2+Sec.,WROUGHT,other,,,7.6,,T,25,840,1039,32,,,,,,
Al0.3 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,7.6,,T,25,159,410,65,,,210,,,
Al0.544 C0.001 Co0.69 Fe1 Ni0.69,B2+L12,CAST,other,,,7,,C,25,1202,,32.6,,,,,,11067
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,,,,,,,107,,,
Co0.5 Cr0.5 Fe1 Ni1,FCC,WROUGHT,FCC,14.9,,8.2,,T,25,214,612,77.3,,,219,,,
Co0.875 Cr0.625 Fe1 Ni1,FCC,WROUGHT,FCC,11.6,,8.3,,T,25,241,721,96.2,,,220,,,
Co1 Cr0.556 Fe0.667 Ni0.667,FCC,WROUGHT,FCC,10.5,,8.3,,T,25,299,841,76.1,,,222,,,
Co1 Cr0.455 Fe0.364 Ni0.364,FCC+HCP,WROUGHT,other,5.6,,8.3,,T,25,392,746,20.3,,,,,,
Co1 Cr0.385 Fe0.154 Ni0.154,FCC+HCP,WROUGHT,other,6.2,,8.4,,T,25,482,857,13.3,,,,,,
Hf1 Nb1 Ti1 Zr1,BCC,WROUGHT,BCC,,,8.4,,,,,,,,69.7,89,,,
Co1 Cr1 Fe1 Mn1 Ni1,,,other,,,8,,,,,,,,202,,,,
Co1 Cr1 Fe1 Mn1 Ni1,,,other,,,8,,,,,,,,202.2,,,,
Co1 Cr1 Fe1 Ni1,,,other,,,8.2,,,,,,,,204,,,,
Co1 Fe1 Ni1,,,other,,,8.5,,,,,,,,174,,,,
Co1 Cr1 Ni1,,,other,,,8.3,,,,,,,,222,,,,
Co1 Cr1 Ni1,,,other,,,8.3,,,,,,,,229,,,,
Co1 Cr1 Ni1,,,other,,,8.3,,,,,,,,234,,,,
Al1 Co0.5 Cr1 Fe0.147 Ni0.294,,,other,,,5.7,699,,,,,,,,,,,
Al1 Co0.298 Cr0.319 Cu0.106 Fe0.277 Ni0.128,,,other,,,5.1,728,,,,,,,,,,,
Al1 Co0.289 Cr0.158 Cu0.237 Fe0.816 Ni0.132,,,other,,,5.6,604,,,,,,,,,,,
Al1 Co0.278 Cr0.861 Cu0.167 Fe0.25 Ni0.222,,,other,,,5.6,790,,,,,,,,,,,
Al1 Co0.395 Cr0.349 Fe0.326 Ni0.256,,,other,,,5.3,806,,,,,,,,,,,
Al1 Co0.255 Cr0.255 Cu0.106 Fe0.277 Ni0.234,,,other,,,5.1,811,,,,,,,,,,,
Al1 Co0.442 Cr0.442 Fe0.256 Ni0.186,,,other,,,5.3,855,,,,,,,,,,,
Al1 Co0.256 Cr0.795 Cu0.128 Fe0.205 Ni0.179,,,other,,,5.4,802,,,,,,,,,,,
Al1 Co0.277 Cr0.277 Cu0.106 Fe0.255 Ni0.213,,,other,,,5.1,799,,,,,,,,,,,
Al1 Co0.465 Cr0.512 Fe0.186 Ni0.163,,,other,,,5.3,857,,,,,,,,,,,
Al1 Co0.298 Cr0.404 Cu0.106 Fe0.213 Ni0.106,,,other,,,5.1,855,,,,,,,,,,,
Al1 Co0.465 Cr0.442 Fe0.209 Ni0.209,,,other,,,5.3,816,,,,,,,,,,,
Al1 Co0.304 Cr0.5 Cu0.109 Fe0.152 Ni0.109,,,other,,,5.1,811,,,,,,,,,,,
Al1 Co0.318 Cr0.5 Cu0.114 Fe0.205 Ni0.136,,,other,,,5.2,790,,,,,,,,,,,
Al1 Co0.442 Cr0.558 Fe0.186 Ni0.14,,,other,,,5.2,855,,,,,,,,,,,
Al1 Co0.419 Cr0.558 Fe0.233 Ni0.116,,,other,,,5.2,856,,,,,,,,,,,
Al1 Co0.298 Cr0.426 Cu0.106 Fe0.191 Ni0.106,,,other,,,5.1,859,,,,,,,,,,,
Al1 Co0.558 Cr0.512 Fe0.116 Ni0.14,,,other,,,5.3,875,,,,,,,,,,,
Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,,,other,,,5.3,865,,,,,,,,,,,
Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,,,other,,,5.3,868,,,,,,,,,,,
Al1 Co0.535 Cr0.488 Fe0.186 Ni0.116,,,other,,,5.3,863,,,,,,,,,,,
Al1 Co0.255 Cr0.426 Cu0.106 Fe0.234 Ni0.106,,,other,,,5,843,,,,,,,,,,,
Al1 Co0.349 Cr0.395 Cu0.116 Fe0.326 Ni0.14,,,other,,,5.3,794,,,,,,,,,,,
Al1 Co0.238 Cr0.714 Cu0.119 Fe0.167 Ni0.143,,,other,,,5.2,783,,,,,,,,,,,
Al1 Co0.234 Cr0.468 Cu0.106 Fe0.213 Ni0.106,,,other,,,5,797,,,,,,,,,,,
Al1 Co0.277 Cr0.426 Cu0.106 Fe0.213 Ni0.106,,,other,,,5,805,,,,,,,,,,,
Al0.853 Co0.647 Cr1 Fe0.147 Ni0.294,,,other,,,6,699,,,,,,,,,,,
Al1 Co0.149 Cr0.34 Cu0.191 Fe0.34 Ni0.106,,,other,,,5.1,749,,,,,,,,,,,
Al1 Co0.326 Cr0.488 Cu0.116 Fe0.279 Ni0.116,,,other,,,5.3,828,,,,,,,,,,,
Al1 Co0.383 Cr0.319 Cu0.106 Fe0.213 Ni0.106,,,other,,,5.1,849,,,,,,,,,,,
Al1 Co0.426 Cr0.383 Cu0.106 Fe0.106 Ni0.106,BCC+B2,,other,,,5.1,883,,,,,,,,,,,
Al1 Co0.419 Cr0.465 Fe0.279 Ni0.163,,,other,,,5.3,864,,,,,,,,,,,
Al1 Co0.362 Cr0.34 Cu0.106 Fe0.213 Ni0.106,,,other,,,5.1,841,,,,,,,,,,,
Al1 Co0.558 Cr0.535 Fe0.116 Ni0.116,,,other,,,5.3,868,,,,,,,,,,,
Al1 Co0.581 Cr0.512 Fe0.116 Ni0.116,,,other,,,5.3,865,,,,,,,,,,,
Al1 Co0.457 Cr0.391 Cu0.109 Fe0.109 Ni0.109,,,other,,,5.2,840,,,,,,,,,,,
Al1 Co0.512 Cr0.512 Fe0.186 Ni0.116,,,other,,,5.3,882,,,,,,,,,,,
Al1 Co0.512 Cr0.535 Fe0.163 Ni0.116,BCC+B2,,other,,,5.3,883,,,,,,,,,,,
Al1 Co0.465 Cr0.488 Fe0.209 Ni0.163,,,other,,,5.3,828,,,,,,,,,,,
Al1 Co0.512 Cr0.581 Fe0.116 Ni0.116,,,other,,,5.2,848,,,,,,,,,,,
Al1 Co0.404 Cr0.404 Cu0.106 Fe0.106 Ni0.106,,,other,,,5.1,878,,,,,,,,,,,
Al1 Co0.674 Cr0.419 Fe0.116 Ni0.116,,,other,,,5.3,782,,,,,,,,,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,BCC,WROUGHT,BCC,,,8,,T,25,1290,1415,1.1,,,220,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC+BCC+Sec.,WROUGHT,other,1.3,,8,,T,25,1135,1260,1.8,,,,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC+BCC+Sec.,WROUGHT,other,2,,8,,T,25,585,815,31.7,,,,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC+Sec.,WROUGHT,other,3.6,,8,,T,25,425,735,40.2,,,,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC,WROUGHT,FCC,17.1,,8,,T,25,270,630,46.2,,,220,,,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,,WROUGHT,other,0.07,,8,,T,25,1120,1175,1.5,,,,,,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.08,9.1,,C,23,1841,,,,,107,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6,,C,23,1100,,,,,189,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,6.46,6.5,,C,23,1100,,,,,151,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9,,C,23,1260,,,,,126,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,9.93,9.9,,C,23,1512,,,,,137,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,23,1575,,,,,128,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,10.18,10.2,,C,23,1600,,,,,143,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,23,929,,,,,107,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11,,C,23,1515,,,,,209,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,23,1343,,,,,222,,,
Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,23,1246,,,,,229,,,
Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,23,996,,,,,250,,,
Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,23,1100,,,,,177,,,
Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,23,882,,,,,101,,,
Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,23,975,,,,,94,,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC+Laves,ANNEAL,other,,6.56,6.6,,C,23,1010,,,,,,,,
Al0.24 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,other,,6.34,6.3,,C,23,1240,,,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,B2+BCC,OTHER,other,,7.14,7.1,,C,23,2000,,,,,,,,
Cr1 Nb0.333 Ti0.333 Zr0.333,BCC+Laves,OTHER,other,,6.56,6.8,,C,23,1576,,,,,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Laves,OTHER,other,,7.98,8,,C,23,1595,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,,8.46,8.5,,C,23,1617,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,,8.16,8.2,,C,23,1787,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,,7.89,7.9,,C,23,2134,,,,,,,,
Mo1 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,other,,7.27,7.1,,C,23,1706,,,,,,,,
Nb1 Re0.3 Ti1 Zr1,BCC+Laves,OTHER,other,,7.81,7.5,,C,23,1244,,,,,,,,
Nb1 Ta1 Ti1 V1 Zr1,BCC+BCC,OTHER,other,,8.43,8.5,,C,23,1395,,,,,,,,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.08,9.1,,C,1000,298,,,,,107,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6,,C,1000,375,,,,,189,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,6.46,6.5,,C,1000,540,,,,,151,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9,,C,1000,368,,,,,126,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,9.93,9.9,,C,1000,814,,,,,137,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,1000,635,,,,,128,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,10.18,10.2,,C,1000,855,,,,,143,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,1000,295,,,,,107,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11,,C,1000,753,,,,,209,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,1000,620,,,,,222,,,
Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,1000,842,,,,,229,,,
Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1000,548,,,,,250,,,
Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,1000,504,,,,,177,,,
Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,1000,274,,,,,101,,,
Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,1000,141,,,,,94,,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC+Laves,ANNEAL,other,,6.56,6.6,,C,1000,550,,,,,,,,
Al0.24 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,other,,6.34,6.3,,C,1000,82,,,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,B2+BCC,OTHER,other,,7.14,7.1,,C,1000,745,,,,,,,,
Cr1 Nb0.333 Ti0.333 Zr0.333,BCC+Laves,OTHER,other,,6.56,6.8,,C,1000,139,,,,,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Laves,OTHER,other,,7.98,8,,C,1000,546,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,,8.46,8.5,,C,1000,398,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,,8.16,8.2,,C,1000,614,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,,7.89,7.9,,C,1000,673,,,,,,,,
Mo1 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,other,,7.27,7.1,,C,1000,467,,,,,,,,
Nb1 Re0.3 Ti1 Zr1,BCC+Laves,OTHER,other,,7.81,7.5,,C,1000,323,,,,,,,,
Nb1 Ta1 Ti1 V1 Zr1,BCC+BCC,OTHER,other,,8.43,8.5,,C,1000,190,,,,,,,,
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.08,9.1,,C,1200,89,,,,,107,,,
Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,5.98,6,,C,1200,100,,,,,189,,,
Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,6.46,6.5,,C,1200,200,,,,,151,,,
Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,BCC,,8.96,9,,C,1200,60,,,,,126,,,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,9.93,9.9,,C,1200,556,,,,,137,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,1200,187,,,,,128,,,
Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,10.18,10.2,,C,1200,404,,,,,143,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,BCC,,9.89,9.9,,C,1200,92,,,,,107,,,
Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,BCC,,10.91,11,,C,1200,659,,,,,209,,,
Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,BCC,,11.72,11.8,,C,1200,586,,,,,222,,,
Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,1200,735,,,,,229,,,
Mo1 Nb1 Ta1 W1,BCC,OTHER,BCC,,13.6,13.7,,C,1200,506,,,,,250,,,
Mo1 Nb1 Ti1,BCC,OTHER,BCC,,7.67,7.7,,C,1200,324,,,,,177,,,
Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,1200,102,,,,,101,,,
Nb1 Ti1 Zr1,BCC,OTHER,BCC,,6.63,6.5,,C,1200,61,,,,,94,,,
Al1 Cr1 Mo1 Nb1 Ti1,BCC+Laves,ANNEAL,other,,6.56,6.6,,C,1200,105,,,,,,,,
Al0.24 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,other,,6.34,6.3,,C,1200,24,,,,,,,,
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,B2+BCC,OTHER,other,,7.14,7.1,,C,1200,250,,,,,,,,
Cr1 Nb0.333 Ti0.333 Zr0.333,BCC+Laves,OTHER,other,,6.56,6.8,,C,1200,32,,,,,,,,
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,BCC+BCC+Laves,OTHER,other,,7.98,8,,C,1200,170,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.3 Ti1 V0.5,BCC+Sec.,CAST,other,,8.46,8.5,,C,1200,166,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.5 Ti1 V0.5,BCC+Sec.,CAST,other,,8.16,8.2,,C,1200,188,,,,,,,,
Hf1 Mo0.5 Nb1 Si0.7 Ti1 V0.5,BCC+Sec.,CAST,other,,7.89,7.9,,C,1200,235,,,,,,,,
Mo1 Nb1 Ti1 V1 Zr1,BCC+Laves,OTHER,other,,7.27,7.1,,C,1200,116,,,,,,,,
Nb1 Re0.3 Ti1 Zr1,BCC+Laves,OTHER,other,,7.81,7.5,,C,1200,89,,,,,,,,
Nb1 Ta1 Ti1 V1 Zr1,BCC+BCC,OTHER,other,,8.43,8.5,,C,1200,78,,,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,245.48,7.753,8,,T,25,293.1,625.6,63,,,220,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,40,,9.9,,T,25,985,1004,15.7,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,87,,9.9,,T,25,972,999.5,12.6,,,107,,,
Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,112,,9.9,,T,25,967,980.6,10.8,,,107,,,
Co1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.5,,T,25,,,15,,,207,,,
Co1 Fe1 Ni1,FCC,WROUGHT,FCC,42,,8.5,,T,25,276,540,51,,,207,,,
Co1 Fe1 Ni1,FCC,WROUGHT,FCC,74,,8.5,,T,25,217,498,47,,,207,,,
Co1 Fe1 Ni1,FCC,WROUGHT,FCC,90,,8.5,,T,25,201,430,44.5,,,207,,,
Co1 Cr1 Ni1,,ANNEAL,other,16,,8.3,,T,-196,600,1247,68,,,,,,
Co1 Cr1 Ni1,,ANNEAL,other,16,,8.3,,T,24,400,800,60,,,,,,
Co1 Cr1 Ni1,,ANNEAL,other,16,,8.3,,T,-196,1215,1440,48,,,,,,
Cr0.286 Mo0.476 Nb1 Ta0.024 Ti0.31 V0.286,BCC+Sec.,POWDER,other,0.075,8.02,8,741,C,25,2680,,,,,,,,
Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,BCC,,8.68,8.7,,C,25,1719,,,,,128,,,
Co1 Fe1 Ni1,FCC,WROUGHT,FCC,53.7,,8.5,,T,25,,,,,161,207,,,
Co1 Cr0.053 Ni1,FCC,WROUGHT,FCC,7.28,,8.8,,T,25,,,,,219,207,,,
Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.862,,8.1,,T,25,529,613,25,,182,203,,,
Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,0.894,,8.1,,T,25,522,601,25,,182,203,,,
Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,1.25,,8.1,,T,25,460,599,27,,182,203,,,
Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,1.75,,8.1,,T,25,407,536,26,,182,203,,,
Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,2.26,,8.1,,T,25,372,542,31,,182,203,,,
Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,3.52,,8.1,,T,25,322,554,49,,182,203,,,
Co1 Mn1 Ni1,FCC,WROUGHT,FCC,1.43,,8.4,,T,25,333,569,40,,190,202,,,
Co1 Mn1 Ni1,FCC,WROUGHT,FCC,0.4,,8.4,,T,25,601,608,24,,190,202,,,
Co1 Mn1 Ni1,FCC,WROUGHT,FCC,1.58,,8.4,,T,25,321,566,50.5,,190,202,,,
Co1 Mn1 Ni1,FCC,WROUGHT,FCC,2.67,,8.4,,T,25,267,506,62.5,,190,202,,,
Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,0.212,,8.7,,T,25,745,824,36,,223,213,,,
Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,0.34,,8.7,,T,25,623,746,53,,223,213,,,
Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,1.46,,8.7,,T,25,387,626,73,,223,213,,,
Co1 Cr0.25 Ni1,FCC,WROUGHT,FCC,2.65,,8.7,,T,25,330,553,101,,223,213,,,
Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,0.295,,8.2,,T,25,631,732,39,,210,226,,,
Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,0.553,,8.2,,T,25,494,732,51,,210,226,,,
Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,0.72,,8.2,,T,25,448,672,65,,210,226,,,
Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,3.4,,8.2,,T,25,273,567,85,,210,226,,,
Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,32.2,,8.2,,T,25,172,504,105,,210,226,,,
Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,0.497,,8.1,,T,25,518,744,36,,240,238,,,
Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,0.848,,8.1,,T,25,462,703,46,,240,238,,,
Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,1.78,,8.1,,T,25,395,644,58,,240,238,,,
Co0.25 Cr1 Ni1,FCC,WROUGHT,FCC,1.98,,8.1,,T,25,356,588,64,,240,238,,,
Al1 Co1 Ni1 Ti1,BCC+B2,POWDER,other,,,5.7,672,C,25,,,,,,,,,
Al1 Fe1 Ni1 Ti1,BCC+B2,POWDER,other,,,5.5,666,C,25,,,,,,,,,
Al1 Co1 Fe1 Ni1 Ti1,BCC+B2,POWDER,other,,,6.1,667,C,25,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,434,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,666,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,761,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,747,,,,,,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,,C,20,1511,,5,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,,C,400,1366,,17,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,,C,600,410,,35,,,,,,
Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC+B2,POWDER,other,,,6.8,,C,800,48,,35,,,,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8,,T,25,210,,57,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,1150,,6,,,220,,,
Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,,,8,,T,25,1300,,2,,,220,,,
